date,product_id,product_name,category,quantity,unit_price,region
2025-01-01,P001,智能手表A,电子产品,10,1299.00,华东
2025-01-01,P002,无线耳机B,电子产品,25,399.00,华东
2025-01-01,P003,运动水杯C,家居用品,15,89.00,华东
2025-01-02,P001,智能手表A,电子产品,8,1299.00,华北
2025-01-02,P004,机械键盘D,电子产品,12,599.00,华北
2025-01-02,P005,瑜伽垫E,运动用品,30,129.00,华北
2025-01-03,P002,无线耳机B,电子产品,20,399.00,华南
2025-01-03,P006,台灯F,家居用品,18,199.00,华南
2025-01-03,P003,运动水杯C,家居用品,22,89.00,华南
2025-01-04,P001,智能手表A,电子产品,15,1299.00,西南
2025-01-04,P007,跑鞋G,运动用品,10,799.00,西南
2025-01-04,P004,机械键盘D,电子产品,9,599.00,西南
2025-01-05,P005,瑜伽垫E,运动用品,28,129.00,华东
2025-01-05,P002,无线耳机B,电子产品,18,399.00,华东
2025-01-05,P006,台灯F,家居用品,12,199.00,华东
2025-01-06,P003,运动水杯C,家居用品,20,89.00,华北
2025-01-06,P007,跑鞋G,运动用品,8,799.00,华北
2025-01-06,P001,智能手表A,电子产品,12,1299.00,华北
2025-01-07,P004,机械键盘D,电子产品,15,599.00,华南
2025-01-07,P005,瑜伽垫E,运动用品,25,129.00,华南
2025-01-07,P002,无线耳机B,电子产品,22,399.00,华南
2025-01-08,P006,台灯F,家居用品,16,199.00,西南
2025-01-08,P007,跑鞋G,运动用品,12,799.00,西南
2025-01-08,P003,运动水杯C,家居用品,18,89.00,西南
2025-01-09,P001,智能手表A,电子产品,9,1299.00,华东
2025-01-09,P004,机械键盘D,电子产品,14,599.00,华东
2025-01-09,P005,瑜伽垫E,运动用品,20,129.00,华东
2025-01-10,P002,无线耳机B,电子产品,30,399.00,华北
2025-01-10,P006,台灯F,家居用品,15,199.00,华北
2025-01-10,P007,跑鞋G,运动用品,9,799.00,华北
2025-01-11,P003,运动水杯C,家居用品,25,89.00,华南
2025-01-11,P001,智能手表A,电子产品,11,1299.00,华南
2025-01-11,P004,机械键盘D,电子产品,10,599.00,华南
2025-01-12,P005,瑜伽垫E,运动用品,22,129.00,西南
2025-01-12,P002,无线耳机B,电子产品,19,399.00,西南
2025-01-12,P006,台灯F,家居用品,14,199.00,西南
